,Date,User,Tweet,Likes
161,2022-01-11 18:38:41+00:00,elonmusk,@ID_AA_Carmack 🤣,3652
162,2022-01-11 18:31:26+00:00,elonmusk,@moxie Accurate,5617
163,2022-01-11 04:20:18+00:00,elonmusk,@cleantechnica Most people have no idea how fast sustainable energy is growing!,35171
164,2022-01-10 15:37:25+00:00,elonmusk,"@APompliano If the alarming collapse in birth rate continues, civilization will indeed die with a whimper in adult diapers",12301
165,2022-01-10 03:23:56+00:00,elonmusk,@lexfridman Mind-blowing that over 80% of humans have a smart phone,36372
166,2022-01-09 23:53:14+00:00,elonmusk,Starship launch &amp; catch tower https://t.co/5mLIQwwu0k,123662
167,2022-01-09 08:25:44+00:00,elonmusk,https://t.co/uiHoMrpifZ,280984
168,2022-01-08 18:38:55+00:00,elonmusk,"@BLKMDL3 @Tesla It’s our best car ever, along with the Plaid X",23030
169,2022-01-07 23:36:11+00:00,elonmusk,"@WholeMarsBlog It was a mistake to try to use the Elise. In the end, only ~5% of the Elise parts ended up being used. Tesla Roadster is a totally different car.",7975
170,2022-01-07 23:30:46+00:00,elonmusk,@heyitsyashu Monthly subscription price will rise when FSD goes to wide release,3689
171,2022-01-07 23:28:12+00:00,elonmusk,FSD price will rise as we get closer to FSD production code release,28249
172,2022-01-07 23:26:23+00:00,elonmusk,Just in the US,28063
173,2022-01-07 23:09:17+00:00,elonmusk,Tesla FSD price rising to $12k on Jan 17,73131
174,2022-01-07 23:06:01+00:00,elonmusk,"@BLKMDL3 Beta 10.9 should be ready in about a week. 

Beta 11 with single city/highway software stack &amp; many other architectural upgrades probably next month.",5686
175,2022-01-06 23:39:59+00:00,elonmusk,Starlinks with “lasers” deployed to orbit https://t.co/Y1eg9gl7sJ,761500
176,2022-01-06 20:07:15+00:00,elonmusk,@Redicnomad Masters of Doom is a great book,8841
177,2022-01-06 06:51:11+00:00,elonmusk,nice,269205
178,2022-01-06 06:29:28+00:00,elonmusk,@engineers_feed 👍,14211
179,2022-01-05 17:13:15+00:00,elonmusk,@ScottAdamsSays 🤣🤣,7523
180,2022-01-05 02:44:04+00:00,elonmusk,@teslaownersSV Room to improve …,11014
181,2022-01-04 20:59:04+00:00,elonmusk,@engineers_feed Earth should be called Water,82810
182,2022-01-04 20:57:43+00:00,elonmusk,@SawyerMerritt !,8022
183,2022-01-04 10:14:32+00:00,elonmusk,@Rainmaker1973 Tonnage to orbit is the more fundamental metric,8356
184,2022-01-03 22:10:17+00:00,elonmusk,@wintonARK Absolutely. This is just bad math.,6566
185,2022-01-03 22:05:41+00:00,elonmusk,@nextspaceflight @BocaChicaGal Yes,4011
186,2022-01-03 22:04:59+00:00,elonmusk,Raptor 2 now operates routinely at 300 bar main chamber pressure,55633
187,2022-01-03 18:44:10+00:00,elonmusk,@jack Reminds me of when I hex edited Ultima V to get out of the final maze,13401
188,2022-01-03 18:31:27+00:00,elonmusk,@ClaudioOmbrella @Tesla @slcuervo @alex_avoigt @ClubTeslaES @teslaownersSV @TeslaSchweiz @TeslaMotorsClub @vaielettrico 🇨🇭Yay Switzerland!! 🇨🇭,4226
189,2022-01-03 02:58:55+00:00,elonmusk,@auren There is no way to be in touch with voters when you’re three generations away from voting age,11562
190,2022-01-02 22:56:00+00:00,elonmusk,https://t.co/LA9hPzVlGx,457114
191,2022-01-02 18:19:33+00:00,elonmusk,Let’s make the roaring 20’s happen!,307706
192,2022-01-02 17:56:50+00:00,elonmusk,Great work by Tesla team worldwide!,64165
193,2022-01-01 01:58:52+00:00,elonmusk,@BLKMDL3 @Tesla 🔥,42957
194,2022-01-01 00:53:13+00:00,elonmusk,@MiFSDBetaTester @WholeMarsBlog 🤣,3913
